answer_llm,answer_orig,document,question,course,cosine
"Yes, sessions are recorded, so if you miss one, you won't miss anything. You can also submit questions for office hours in advance, and they will be addressed during the live stream. Additionally, you can ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp,0.803685
"Yes, you can ask questions in advance if you can't attend a live stream. Your questions will be covered during the live stream, and you can also ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp,0.6288644
"If you miss a session, everything is recorded, so you won’t miss anything. You can ask your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp,0.9080528
"Yes, everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp,0.95003927
"Yes, you can still interact with instructors after missing a session. You can ask your questions in advance for office hours, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp,0.5546897
"The course focuses on practical application, covering theory only at an intuitive level. It includes the bare minimum of theoretical content necessary to understand the practice. For instance, the course will not derive complex formulas like the gradient update rule for logistic regression, but will instead demonstrate how to use logistic regression and interpret the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp,0.47646558
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. The focus is more on practice, and theory will be covered only at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp,0.71549475
"The focus of the course is more on practice. The course covers theory only at an intuitive level, emphasizing practical application.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp,0.32753503
"You can find more about the theoretical topics not covered in the course by exploring other courses that focus on the detailed theory. The course itself only covers theory on an intuitive level, focusing primarily on practice.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp,0.2758074
"Yes, the course will help you understand how to use logistic regression and interpret its results. The focus is more on practice, with theory covered only at an intuitive level. You won't delve into complex theoretical derivations like the gradient update rule, but you'll learn how to use logistic regression and make sense of its results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp,0.6585212
"No prior knowledge in math is necessary for this course. While some linear algebra will be covered, the course mainly focuses on code rather than formulas. To help with understanding linear algebra, you may watch videos like ""ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev"" or ""Vectors | Chapter 1, Essence of linear algebra"" by 3Blue1Brown. If you have questions, you can always ask the community for help.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp,0.7723943
"The course will cover some linear algebra content. However, there will generally be very few formulas and mostly focus on code.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp,0.7844868
"Yes, there are resources available to help with linear algebra. You can watch videos like ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" from Alexey Grigorev or explore the excellent playlist from 3Blue1Brown titled ""Vectors | Chapter 1, Essence of linear algebra."" Additionally, you can always ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp,0.7287858
"Yes, you can seek help from the community for math-related questions. The course encourages you to never hesitate to ask the community for help if you have any questions, including those related to linear algebra and math.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp,0.63987505
"Yes, there are recommended videos for learning linear algebra. You can watch ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" from Alexey Grigorev or the excellent playlist on ""Vectors | Chapter 1, Essence of linear algebra"" by 3Blue1Brown.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp,0.74108255
"If you haven't received a confirmation email after filling out the form, the process is automated, so you should eventually receive the email. Check your promotions tab in Gmail and your spam folder if it's not in your inbox. If you've unsubscribed from our newsletter, this may affect receiving course updates. To ensure you don't miss anything, join the #course-ml-zoomcamp channel in Slack and our Telegram channel with announcements. This will suffice for following the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp,0.913396
"Yes, it is possible that your confirmation email went to your spam folder. You should check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from the newsletter, you won't receive course-related updates either. To ensure you don't miss anything, it is recommended to join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp,0.8772124
"Unsubscribing from the newsletter will affect receiving course updates. If you have unsubscribed, you won't get course-related updates via email. To ensure you don't miss any course updates, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. This will be sufficient to stay informed about the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp,0.8333423
"If you don’t receive the confirmation email, you can still get course updates by joining the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. This will ensure you receive all necessary course information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp,0.82896423
"If you're having email issues and want to stay informed about the course, you can join the #course-ml-zoomcamp channel on Slack and the Telegram channel with announcements. These platforms will provide you with the necessary updates and information about the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp,0.8044989
"The duration of the course is approximately 4 months, but it may take longer if you choose to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp,0.7182096
"The course takes approximately 4 months to complete, but it may take longer if you choose to participate in extra activities like an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp,0.74253273
"Yes, the course can take more than 4 months if you choose to engage in additional activities such as an extra project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp,0.66652757
"The context does not provide information about extending the course duration. It mentions that the course typically lasts approximately 4 months but may take longer if you choose to engage in extra activities like an additional project or writing an article. However, it does not specifically address the possibility of an official extension of the course duration.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp,0.60422885
Participating in extra activities like an extra project or writing an article might extend the course time beyond the typical duration of approximately 4 months.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp,0.725595
You should allocate around ~10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp,0.59926736
The time needed for different modules was analyzed by Timur Kamaliev.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp,0.66914415
The students of the previous cohort spent around ~10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp,0.76332784
The estimated weekly time commitment for the course is around 10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp,0.6381792
"You can find the detailed analysis of study time requirements in a full article by Timur Kamaliev, who analyzed how much time students of the previous cohort needed for different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp,0.71485555
"To earn a certificate in this course, you need to submit at least 2 out of the 3 course projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp,0.6746367
"To receive a certificate, you need to submit at least 2 out of 3 course projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp,0.7008488
"No, you do not need to complete all projects to get a certificate. You need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline to receive a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp,0.7614604
"To qualify for the certificate, you need to submit 2 out of 3 course projects and review 3 peers’ projects by the specified deadline. The exact deadline date is not provided in the context, but generally follows the course schedule.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp,0.6711924
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp,0.6208782
"Yes, you can receive a certificate if you don't complete the midterm project. You need to finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline to get a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp,0.24077432
"Yes, you can still graduate without submitting the midterm project. To receive a certificate, you need to complete at least 2 out of 3 projects and review 3 peers' projects by the deadline. Missing the midterm project means you must complete the other two projects to be eligible for graduation.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp,0.2177254
"Yes, you are eligible for certification even if you missed the midterm project. You need to finish at least 2 out of the 3 projects and review 3 peers’ projects by the deadline to receive a certificate.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp,0.21015239
"No, it is not mandatory to complete the midterm project for the certificate. To obtain the certificate, you need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp,0.16121069
Missing the midterm project does not necessarily affect your certification eligibility. You can still receive a certificate if you complete and submit at least two out of the three projects and peer-review at least three projects from your course-mates for each submission.,"Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp,0.13143794
"To be prepared for this course, you should know some basic Python skills such as how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are), and perform some important operations regarding data analysis. It is recommended to follow the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform, which is free and covers these essentials.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp,0.8372749
"You can learn the necessary Python knowledge for this course by following the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform, which is free and covers the basics needed for data analysis. This includes skills such as running a Jupyter notebook, importing libraries, declaring variables, and important data analysis operations.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp,0.84220004
"The CONTEXT provided does not directly answer the QUESTION about the importance of knowing how to run a Jupyter notebook for this course. However, knowing how to run a Jupyter notebook is generally important because it is often used for running code, experimenting, and documentation in a more interactive and visual manner. In the context of machine learning and data science courses, Jupyter notebooks are commonly used to demonstrate code execution, allow for easy modifications, and enable clear communication of results and methodology.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp,0.48681757
"For this course, it is important to know some basic operations regarding data analysis such as how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are), and other important operations related to data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp,0.6632292
"To learn how to declare variables in Python for this course, you can refer to the free English course provided by OpenClassrooms, which covers the Python basics for data analysis. The course includes topics such as how to declare a variable and understand what variables are. It's essential to know these basics, along with how to run a Jupyter notebook and import libraries, for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp,0.7466588
"For the Machine Learning part of the course, all you need is a working laptop with an internet connection. The Deep Learning part is more resource-intensive, but you can use cloud services for that. The course uses Saturn Cloud, but other cloud services can also be used.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp,0.9474578
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp,0.77599
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. The Machine Learning section only requires a working laptop with an internet connection, while the Deep Learning section may require additional resources, for which the course suggests using a cloud service like Saturn cloud.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp,0.6991618
"Yes, Saturn Cloud can be used for the Deep Learning part of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp,0.46803266
"Yes, you can use a cloud service other than Saturn Cloud for the Deep Learning section. The course materials indicate that while Saturn Cloud is used, you have the flexibility to use other cloud services as well.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp,0.52675045
"You can find instructions to install TensorFlow GPU on Ubuntu by referring to the following article, which outlines the setup process: [https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, a simplified guide for setting up CUDA and cuDNN, which are essential for running TensorFlow with GPU support, is mentioned in the section titled ""8. Neural Networks and Deep Learning"". These resources should help you with the installation process.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp,0.28455874
"Yes, there is a guide to set up TensorFlow with GPU on Ubuntu. You can follow this article: [ML Zoomcamp 2023 Project](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/). Additionally, for setting up CUDA and cuDNN, which are necessary for running TensorFlow with GPU support, you can refer to the simplified guide provided by Osman Ali in the context.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp,0.29740322
